step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,37,173,83,0,0,7,19,1,0,0,0,llm,0,0,0,0.5
1,37,173,83,1,0,7,19,1,0,0,0,llm,0,0,0,0.5
2,37,173,83,2,0,7,19,1,0,0,0,llm,0,0,0,0.5
3,37,173,83,3,0,7,19,1,0,0,0,llm,0,0,0,0.5
4,37,173,83,4,0,7,19,1,0,0,0,llm,0,0,0,0.5
5,37,173,83,5,0,7,19,1,0,0,0,llm,0,0,0,0.5
6,37,173,83,6,0,7,19,1,0,0,0,llm,0,0,0,0.5
7,37,173,83,7,0,7,19,1,0,0,0,llm,0,0,0,0.5
8,37,173,83,8,0,7,19,1,0,0,0,llm,0,0,0,0.5
9,37,173,83,9,0,7,19,1,0,0,0,llm,0,0,0,0.5
10,37,173,83,10,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,37,173,83,11,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,37,173,83,12,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,37,173,83,13,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,37,173,83,14,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,37,173,83,15,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,37,173,83,16,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,37,173,83,17,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,37,173,83,18,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,37,173,83,19,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,37,173,83,20,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,37,173,83,21,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,37,173,83,22,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,37,173,83,23,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,37,173,83,24,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,37,173,83,25,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,37,173,83,26,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,37,173,83,27,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,37,173,83,28,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,37,173,83,29,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,37,173,83,30,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,37,173,83,31,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,37,173,83,32,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,37,173,83,33,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,37,173,83,34,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,37,173,83,35,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,37,173,83,36,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,37,173,83,37,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,37,173,83,38,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,37,173,83,39,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,37,173,83,40,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,37,173,83,41,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,37,173,83,42,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,37,173,83,43,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,37,173,83,44,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,37,173,83,45,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,37,173,83,46,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,37,173,83,47,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,37,173,83,48,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,37,173,83,49,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,37,173,83,50,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,37,173,83,51,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
52,37,173,83,52,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
53,37,173,83,53,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
54,37,173,83,54,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
55,37,173,83,55,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
56,37,173,83,56,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
57,37,173,83,57,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
58,37,173,83,58,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
59,37,173,83,59,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
60,37,173,83,60,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
61,37,173,83,61,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
62,37,173,83,62,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
63,37,173,83,63,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
64,37,173,83,64,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
65,37,173,83,65,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
66,37,173,83,66,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
67,37,173,83,67,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
68,37,173,83,68,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
69,37,173,83,69,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
70,37,173,83,70,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
71,37,173,83,71,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
72,37,173,83,72,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
73,37,173,83,73,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
74,37,173,83,74,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
75,37,173,83,75,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
76,37,173,83,76,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
77,37,173,83,77,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
78,37,173,83,78,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
79,37,173,83,79,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
80,37,173,83,80,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
81,37,173,83,81,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
82,37,173,83,82,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
83,37,173,83,83,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
