runner_step,before_order_num,after_order_num,profit,utility,fairness,variety,entropy
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0
8,1,2,0,0,0,0,0
9,2,3,0,0,0,0,0
10,3,4,0,2.0,0,1,1.0
11,4,5,0,2.0,0,1,1.0
12,5,6,0,2.0,0,1,1.0
13,6,7,0,2.0,0,1,1.0
14,7,8,0,2.0,0,1,1.0
15,8,9,0,2.0,0,1,1.0
16,9,10,0,2.0,0,1,1.0
17,10,11,0,2.0,0,1,1.0
18,11,12,0,2.0,0,1,1.0
19,12,13,0,2.0,0,1,1.0
20,13,14,0,2.0,0,1,1.0
21,14,15,0,2.0,0,1,1.0
22,15,16,0,2.0,0,1,1.0
23,16,17,0,2.0,0,1,1.0
24,17,18,0,2.0,0,1,1.0
25,18,19,0,2.0,0,1,1.0
26,19,20,0,2.0,0,1,1.0
27,20,21,0,2.0,0,1,1.0
28,21,22,0,2.0,0,1,1.0
29,22,23,0,2.0,0,1,1.0
30,23,24,0,2.0,0,1,1.0
31,24,25,0,2.0,0,1,1.0
32,25,26,0,2.0,0,1,1.0
33,26,27,0,2.0,0,1,1.0
34,27,28,0,2.0,0,1,1.0
35,28,29,0,2.0,0,1,1.0
36,29,30,0,2.0,0,1,1.0
37,30,31,0,2.0,0,1,1.0
38,31,32,0,2.0,0,1,1.0
39,32,33,0,2.0,0,1,1.0
40,33,34,0,2.0,0,1,1.0
41,34,35,0,2.0,0,1,1.0
42,35,36,0,2.0,0,1,1.0
43,36,37,0,2.0,0,1,1.0
44,37,38,0,2.0,0,1,1.0
45,38,39,0,2.0,0,1,1.0
46,39,41,0,2.0,0,1,1.0
47,41,43,0,2.0,0,1,1.0
48,43,45,0,2.0,0,1,1.0
49,45,47,0,2.0,0,1,1.0
50,47,0,34.98943642471849,36.98943642471849,0,1,1.0
51,0,0,36.74393875170781,38.74393875170781,0,1,1.0
52,0,0,38.32775004572243,40.32775004572243,0,1,1.0
53,0,0,39.107652829338136,41.12765282933813,0.01999999999999824,1,1.0
54,0,0,40.16796018799663,42.19793084048261,0.029970652485987626,1,1.0
55,0,0,41.57094958326462,43.598924544951416,0.027974961686792588,1,1.0
56,0,0,43.87659899900073,45.93373968005702,0.05714068105629422,1,1.0
57,0,0,45.755607528243914,47.853126890817315,0.09751936257340388,1,1.0
58,0,0,47.31813366734987,49.42578519748647,0.10765153013660067,1,1.0
59,0,0,47.31813366734987,49.433692961119355,0.11555929376948404,1,1.0
60,0,0,47.31813366734987,49.45810367519396,0.13997000784409308,1,1.0
61,0,0,47.31813366734987,49.47954892615415,0.1614152588042863,1,1.0
62,0,0,47.31813366734987,49.48727027818769,0.16913661083781617,1,1.0
63,0,0,47.31813366734987,49.49226577771662,0.17413211036674714,1,1.0
