rider_id,money,labor,total_order,go_work_time,get_off_work_time,stability,robustness,inv,utility
0,89.27054897872543,992,12,7,18,70368744177664.0,0.9999999999999716,892705489787.254,234.96751040374815
1,108.99864865623945,1031,12,6,19,1.0,1.0,1089986486562.3944,234.78766431939133
2,110.25475630314952,965,14,6,19,1.0,1.0,1102547563031.495,247.67332941394272
3,66.0383348916608,615,9,6,19,70368744177664.0,0.9999999999999716,660383348916.608,183.69041965269216
4,92.33165720169022,795,11,7,17,70368744177664.0,0.9999999999999716,923316572016.902,250.33504791647852
5,126.154089396178,1195,15,7,17,35184372088832.0,0.9999999999999432,1261540893961.7803,271.62580075174003
6,121.28740740294809,1074,15,7,18,1.0,1.0,1212874074029.4807,266.6802360183612
7,67.81561494620796,876,10,6,20,70368744177664.0,0.9999999999999716,678156149462.0795,190.43950640281813
8,94.03341672578057,851,12,7,18,70368744177664.0,0.9999999999999716,940334167257.8058,238.62101898907514
9,51.750434987847456,546,7,6,20,70368744177664.0,0.9999999999999716,517504349878.4747,165.7860987971335
10,127.79233308183244,1012,16,7,19,70368744177664.0,0.9999999999999716,1277923330818.3242,281.560985501784
11,100.37089149996808,1053,13,6,20,70368744177664.0,0.9999999999999716,1003708914999.6809,219.27773479561287
12,86.55437482335279,762,11,7,19,70368744177664.0,0.9999999999999716,865543748233.5277,240.85046578293617
13,67.30453104291004,679,12,7,19,70368744177664.0,0.9999999999999716,673045310429.1006,213.15710236505385
14,109.70660224130323,1196,15,7,18,70368744177664.0,0.9999999999999716,1097066022413.0321,279.7774058525173
15,113.1849207128884,1362,16,6,20,70368744177664.0,0.9999999999999716,1131849207128.8838,248.53081262179668
16,117.89809175758407,1375,18,6,20,1.0,1.0,1178980917575.8406,281.9353331093113
17,106.87659600741867,706,12,7,18,1.0,1.0,1068765960074.1866,322.75939439280955
18,116.9311294049233,1246,18,6,20,35184372088832.0,0.9999999999999432,1169311294049.2327,280.8805131250824
19,134.5208597257089,1035,15,7,18,35184372088832.0,0.9999999999999432,1345208597257.089,306.71804076754955
20,83.36295410414527,1045,14,6,20,1.0,1.0,833629541041.4526,216.47611281442497
21,140.338118232415,1230,18,6,20,35184372088832.0,0.9999999999999432,1403381182324.1504,295.94469960831725
22,100.11746986254528,1090,14,6,20,70368744177664.0,0.9999999999999716,1001174698625.4525,269.311883435226
23,142.84291328927392,1325,18,6,19,35184372088832.0,0.9999999999999432,1428429132892.739,301.33234973549
24,144.49731584679586,1423,19,7,19,35184372088832.0,0.9999999999999432,1444973158467.9583,308.1597769237452
25,159.12104280440101,1446,19,7,18,1.0,1.0,1591210428044.01,338.2170946586867
26,81.11853171854847,1094,16,6,20,70368744177664.0,0.9999999999999716,811185317185.4845,233.9393388545475
27,90.52262306624479,1254,15,6,19,70368744177664.0,0.9999999999999716,905226230662.448,270.28871888662155
28,103.32708286952776,966,14,7,19,70368744177664.0,0.9999999999999716,1033270828695.2775,287.46493709831566
29,123.98772439301524,973,14,7,17,1.0,1.0,1239877243930.1523,330.32629799455566
