metric_type,metric_name,mean,std,min,max
rider,money,105.9437,25.8472,51.7504,159.1210
rider,labor,1040.4000,240.2126,546.0000,1446.0000
rider,total_order,14.1333,2.9912,7.0000,19.0000
rider,stability,44566871312520.7969,30552172557984.4727,1.0000,70368744177664.0000
rider,robustness,1.0000,0.0000,1.0000,1.0000
rider,inv,1059437005325.0765,258471963611.6822,517504349878.4747,1591210428044.0100
rider,utility,260.3839,43.0826,165.7861,338.2171
platform,profit,326.3111,0.0000,326.3111,326.3111
platform,fairness,0.8590,0.0000,0.8590,0.8590
platform,variety,0.9023,0.0000,0.9023,0.9023
platform,entropy_increase,1.0000,0.0000,1.0000,1.0000
platform,utility,2730.1185,0.0000,2730.1185,2730.1185
platform,swf,2730.1185,0.0000,2730.1185,2730.1185
platform,involution,43.6104,0.0000,43.6104,43.6104
